"ID товара","Визиты","Просмотры","Посетители","Конверсия (Заявка на кредит)","Конверсия (Звонок)"
"Итого и средние","144495","2002633","94939","0.0433786636215786","0.03263780753659296"
"226381","354","3570","347","0.002824858757062147","0.00847457627118644"
"398192","89","4121","83","0.0","0.0"
"44247","94","2273","71","0.0","0.0"
"109935","73","2766","62","0.0","0.0"
"99115","73","1517","62","0.0","0.0"
"417054","60","5030","57","0.0","0.0"
"33410","76","2812","52","0.0","0.0"
"68905","57","1760","51","0.0","0.0"
"59705","53","1943","50","0.0","0.0"
"132610","54","1143","49","0.0","0.0"
"428458","50","801","49","0.0","0.0"
"149240","60","1967","46","0.0","0.0"
"259717","47","1823","46","0.0","0.0"
"260368","52","2957","46","0.0","0.0"
"134349","46","492","45","0.0","0.0"
"17337","48","1805","45","0.0","0.0"
"408872","46","1395","45","0.0","0.0"
"440520","50","3140","45","0.0","0.0"
"64703","48","1190","44","0.0","0.0"
"133285","45","1131","42","0.0","0.0"
"217049","43","1539","42","0.0","0.0"
"47935","46","1153","42","0.0","0.0"
"140871","44","2139","41","0.0","0.0"
"285527","46","1797","41","0.0","0.0"
"44918","43","1459","41","0.0","0.0"
"50349","47","624","41","0.0","0.0"
"255844","43","963","40","0.0","0.0"
"54255","45","662","40","0.0","0.0"
"72190","52","1434","40","0.0","0.0"
"134347","44","802","39","0.0","0.0"
"140848","50","1690","39","0.0","0.0"
"253548","41","1611","39","0.0","0.0"
"29715","42","1379","39","0.0","0.0"
"297363","43","1236","39","0.0","0.0"
"178208","39","1365","38","0.0","0.0"
"408709","39","2491","38","0.0","0.0"
"99574","42","2305","38","0.0","0.0"
"130625","38","1646","37","0.0","0.0"
"413070","38","1776","37","0.0","0.0"
"51678","43","1271","37","0.0","0.0"
"103504","40","1126","36","0.0","0.0"
"110374","37","821","36","0.0","0.0"
"133719","44","2000","36","0.0","0.0"
"209223","45","2038","36","0.0","0.0"
"337707","37","404","36","0.0","0.0"
"361732","39","509","36","0.0","0.0"
"49616","39","705","36","0.0","0.0"
"74586","41","2039","36","0.0","0.0"
"100430","42","1618","35","0.0","0.0"
"141988","39","761","35","0.0","0.0"
"18074","36","1997","35","0.0","0.0"
"350609","35","797","35","0.0","0.0"
"46578","35","1246","35","0.0","0.0"
"82559","42","1078","35","0.0","0.0"
"148420","40","1960","34","0.0","0.0"
"293309","38","1813","34","0.0","0.0"
"45211","36","1078","34","0.0","0.0"
"74815","37","1941","34","0.0","0.0"
"103831","37","1222","33","0.0","0.0"
"105203","38","931","33","0.0","0.0"
"214343","34","457","33","0.0","0.0"
"37727","40","1072","33","0.0","0.0"
"408591","38","1415","33","0.0","0.0"
